game_id,temp,wind,roof,surface,spread_line_x,score_diff_final,home_team,away_team,spread_line_y,total_line,week,home_favorite,implied_home_score,implied_away_score
2024_07_BAL_TB,80.0,8.0,outdoors,grass,-4.5,-10.0,TB,BAL,-4.5,51.0,7,True,23.25,27.75
2024_07_CAR_WAS,76.0,2.0,outdoors,grass,10.0,33.0,WAS,CAR,10.0,51.0,7,False,30.5,20.5
2024_07_CIN_CLE,62.0,8.0,outdoors,grass,-5.5,-7.0,CLE,CIN,-5.5,42.0,7,True,18.25,23.75
2024_07_DEN_NO,,,dome,sportturf,-2.5,-23.0,NO,DEN,-2.5,37.0,7,True,17.25,19.75
2024_07_DET_MIN,,,dome,sportturf,1.0,-2.0,MIN,DET,1.0,50.5,7,False,25.75,24.75
2024_07_HOU_GB,72.0,3.0,outdoors,grass,3.0,2.0,GB,HOU,3.0,48.0,7,False,25.5,22.5
2024_07_KC_SF,78.0,3.0,outdoors,grass,2.5,-10.0,SF,KC,2.5,47.5,7,False,25.0,22.5
2024_07_LAC_ARI,,,closed,grass,-1.0,2.0,ARI,LAC,-1.0,44.0,7,True,21.5,22.5
2024_07_LV_LA,,,dome,matrixturf,7.0,5.0,LA,LV,7.0,43.0,7,False,25.0,18.0
2024_07_MIA_IND,,,closed,fieldturf,3.0,6.0,IND,MIA,3.0,44.0,7,False,23.5,20.5
2024_07_NE_JAX,63.0,12.0,outdoors,grass,6.5,16.0,JAX,NE,6.5,42.0,7,False,24.25,17.75
2024_07_NYJ_PIT,60.0,4.0,outdoors,grass,-3.0,22.0,PIT,NYJ,-3.0,40.0,7,True,18.5,21.5
2024_07_PHI_NYG,71.0,4.0,outdoors,fieldturf,-3.0,-25.0,NYG,PHI,-3.0,42.0,7,True,19.5,22.5
2024_07_SEA_ATL,,,closed,fieldturf,3.0,-20.0,ATL,SEA,3.0,51.5,7,False,27.25,24.25
2024_07_TEN_BUF,66.0,12.0,outdoors,a_turf,9.5,24.0,BUF,TEN,9.5,41.0,7,False,25.25,15.75
2024_08_ARI_MIA,82.0,14.0,outdoors,grass,4.0,-1.0,MIA,ARI,4.0,46.5,8,False,25.25,21.25
2024_08_ATL_TB,79.0,6.0,outdoors,grass,-1.5,-5.0,TB,ATL,-1.5,47.0,8,True,22.75,24.25
2024_08_BAL_CLE,52.0,4.0,outdoors,grass,-7.5,5.0,CLE,BAL,-7.5,44.5,8,True,18.5,26.0
2024_08_BUF_SEA,55.0,14.0,outdoors,fieldturf,-3.0,-21.0,SEA,BUF,-3.0,45.5,8,True,21.25,24.25
2024_08_CAR_DEN,76.0,4.0,outdoors,grass,13.0,14.0,DEN,CAR,13.0,40.5,8,False,26.75,13.75
2024_08_CHI_WAS,58.0,2.0,outdoors,grass,1.5,3.0,WAS,CHI,1.5,46.5,8,False,24.0,22.5
2024_08_DAL_SF,69.0,9.0,outdoors,grass,5.5,6.0,SF,DAL,5.5,48.0,8,False,26.75,21.25
2024_08_GB_JAX,84.0,4.0,outdoors,grass,-3.5,-3.0,JAX,GB,-3.5,49.0,8,True,22.75,26.25
2024_08_IND_HOU,,,closed,astroturf,5.0,3.0,HOU,IND,5.0,45.0,8,False,25.0,20.0
2024_08_KC_LV,,,dome,grass,-9.0,-7.0,LV,KC,-9.0,42.0,8,True,16.5,25.5
2024_08_MIN_LA,,,dome,matrixturf,-3.0,10.0,LA,MIN,-3.0,47.5,8,True,22.25,25.25
2024_08_NO_LAC,,,dome,matrixturf,7.0,18.0,LAC,NO,7.0,41.5,8,False,24.25,17.25
2024_08_NYG_PIT,54.0,7.0,outdoors,grass,6.0,8.0,PIT,NYG,6.0,37.5,8,False,21.75,15.75
2024_08_NYJ_NE,53.0,8.0,outdoors,fieldturf,-7.0,3.0,NE,NYJ,-7.0,41.0,8,True,17.0,24.0
2024_08_PHI_CIN,59.0,6.0,outdoors,fieldturf,2.5,-20.0,CIN,PHI,2.5,47.5,8,False,25.0,22.5
2024_08_TEN_DET,,,dome,fieldturf,12.5,38.0,DET,TEN,12.5,45.0,8,False,28.75,16.25
2024_09_CHI_ARI,,,closed,grass,1.5,20.0,ARI,CHI,1.5,44.5,9,False,23.0,21.5
2024_09_DAL_ATL,,,closed,fieldturf,3.0,6.0,ATL,DAL,3.0,52.0,9,False,27.5,24.5
2024_09_DEN_BAL,57.0,3.0,outdoors,grass,9.0,31.0,BAL,DEN,9.0,46.5,9,False,27.75,18.75
2024_09_DET_GB,50.0,15.0,outdoors,grass,-2.5,-10.0,GB,DET,-2.5,47.5,9,True,22.5,25.0
2024_09_HOU_NYJ,71.0,8.0,outdoors,fieldturf,2.5,8.0,NYJ,HOU,2.5,43.5,9,False,23.0,20.5
2024_09_IND_MIN,,,dome,sportturf,6.5,8.0,MIN,IND,6.5,47.0,9,False,26.75,20.25
2024_09_JAX_PHI,57.0,6.0,outdoors,grass,7.5,5.0,PHI,JAX,7.5,46.0,9,False,26.75,19.25
