season,week,team,attempts,carries,passing_yards,rushing_yards,receiving_yards,total_plays,pass_rate,total_yards,yards_per_play,pass_yards_per_play,rush_yards_per_play
2024,8,SF,26,35,260.0,222.0,254.0,61,0.4262295081967213,736.0,12.065573770491802,10.0,6.3428571428571425
2024,8,TB,50,21,330.0,104.0,330.0,71,0.704225352112676,764.0,10.76056338028169,6.6,4.9523809523809526
2024,8,TEN,38,32,266.0,158.0,266.0,70,0.5428571428571428,690.0,9.857142857142858,7.0,4.9375
2024,8,WAS,38,32,326.0,168.0,326.0,70,0.5428571428571428,820.0,11.714285714285714,8.578947368421053,5.25
2024,9,ARI,20,34,154.0,213.0,154.0,54,0.37037037037037035,521.0,9.648148148148149,7.7,6.264705882352941
2024,9,ATL,24,30,222.0,100.0,222.0,54,0.4444444444444444,544.0,10.074074074074074,9.25,3.3333333333333335
2024,9,BAL,19,34,280.0,127.0,277.0,53,0.3584905660377358,684.0,12.90566037735849,14.736842105263158,3.735294117647059
2024,9,BUF,39,19,235.0,94.0,235.0,58,0.6724137931034483,564.0,9.724137931034482,6.0256410256410255,4.947368421052632
2024,9,CAR,26,23,171.0,80.0,171.0,49,0.5306122448979592,422.0,8.612244897959183,6.576923076923077,3.4782608695652173
2024,9,CHI,41,23,217.0,69.0,217.0,64,0.640625,503.0,7.859375,5.2926829268292686,3.0
2024,9,CIN,39,31,251.0,130.0,251.0,70,0.5571428571428572,632.0,9.028571428571428,6.435897435897436,4.193548387096774
2024,9,CLE,46,24,235.0,79.0,235.0,70,0.6571428571428571,549.0,7.8428571428571425,5.108695652173913,3.2916666666666665
2024,9,DAL,49,20,248.0,132.0,244.0,69,0.7101449275362319,624.0,9.043478260869565,5.061224489795919,6.6
2024,9,DEN,34,28,225.0,123.0,225.0,62,0.5483870967741935,573.0,9.241935483870968,6.617647058823529,4.392857142857143
2024,9,DET,22,32,145.0,124.0,145.0,54,0.4074074074074074,414.0,7.666666666666667,6.590909090909091,3.875
2024,9,GB,39,23,273.0,138.0,273.0,62,0.6290322580645161,684.0,11.03225806451613,7.0,6.0
2024,9,HOU,31,36,191.0,187.0,191.0,67,0.4626865671641791,569.0,8.492537313432836,6.161290322580645,5.194444444444445
2024,9,IND,27,19,179.0,68.0,179.0,46,0.5869565217391305,426.0,9.26086956521739,6.62962962962963,3.5789473684210527
2024,9,JAX,31,18,169.0,60.0,169.0,49,0.6326530612244898,398.0,8.122448979591837,5.451612903225806,3.3333333333333335
2024,9,KC,44,35,291.0,124.0,291.0,79,0.5569620253164557,706.0,8.936708860759493,6.613636363636363,3.5428571428571427
2024,9,LA,44,24,298.0,68.0,298.0,68,0.6470588235294118,664.0,9.764705882352942,6.7727272727272725,2.8333333333333335
2024,9,LAC,27,23,282.0,96.0,282.0,50,0.54,660.0,13.2,10.444444444444445,4.173913043478261
2024,9,LV,33,21,198.0,60.0,198.0,54,0.6111111111111112,456.0,8.444444444444445,6.0,2.857142857142857
2024,9,MIA,28,31,231.0,149.0,231.0,59,0.4745762711864407,611.0,10.35593220338983,8.25,4.806451612903226
2024,9,MIN,35,32,312.0,133.0,312.0,67,0.5223880597014925,757.0,11.298507462686567,8.914285714285715,4.15625
2024,9,NE,41,20,206.0,110.0,206.0,61,0.6721311475409836,522.0,8.557377049180328,5.024390243902439,5.5
2024,9,NO,32,40,236.0,186.0,236.0,72,0.4444444444444444,658.0,9.13888888888889,7.375,4.65
2024,9,NYG,26,31,174.0,164.0,174.0,57,0.45614035087719296,512.0,8.982456140350877,6.6923076923076925,5.290322580645161
2024,9,NYJ,32,21,211.0,100.0,211.0,53,0.6037735849056604,522.0,9.849056603773585,6.59375,4.761904761904762
2024,9,PHI,24,46,230.0,237.0,230.0,70,0.34285714285714286,697.0,9.957142857142857,9.583333333333334,5.1521739130434785
2024,9,SEA,34,33,363.0,107.0,363.0,67,0.5074626865671642,833.0,12.432835820895523,10.676470588235293,3.242424242424242
2024,9,TB,31,19,200.0,95.0,200.0,50,0.62,495.0,9.9,6.451612903225806,5.0
2024,9,TEN,33,39,240.0,167.0,240.0,72,0.4583333333333333,647.0,8.98611111111111,7.2727272727272725,4.282051282051282
2024,9,WAS,22,38,209.0,149.0,209.0,60,0.36666666666666664,567.0,9.45,9.5,3.9210526315789473
2024,10,ARI,24,32,266.0,147.0,266.0,56,0.42857142857142855,679.0,12.125,11.083333333333334,4.59375
2024,10,ATL,38,32,306.0,181.0,306.0,70,0.5428571428571428,793.0,11.32857142857143,8.052631578947368,5.65625
