week,defteam,pass_yards_allowed,rush_yards_allowed,pass_td_allowed,rush_td_allowed,rec_td_allowed,total_yards_allowed,fantasy_points_allowed,plays_against
1,MIN,186.0,74.0,0.0,0.0,0,240.0,D.SingletaryD.SingletaryT.JohnsonE.GrayD.BellingerD.JonesD.SingletaryD.JonesD.JonesD.SingletaryW.RobinsonM.NabersM.NabersM.NabersM.NabersT.TracyD.SingletaryW.RobinsonD.SingletaryT.JohnsonD.SlaytonD.SingletaryD.JonesD.JonesW.RobinsonT.JohnsonD.SlaytonW.RobinsonM.NabersD.SingletaryM.NabersT.TracyW.RobinsonD.JonesD.SingletaryT.TracyW.RobinsonW.RobinsonM.NabersW.RobinsonD.SingletaryD.SingletaryD.SlaytonD.SingletaryD.SlaytonD.SingletaryW.RobinsonD.SlaytonJ.HyattD.SingletaryW.RobinsonT.JohnsonD.SingletaryW.RobinsonE.GrayE.GrayD.SingletaryW.RobinsonW.RobinsonT.TracyT.Tracy,89
1,NE,164.0,70.0,0.0,1.0,0,224.0,Z.MossM.GesickiZ.MossZ.MossJ.BurrowT.HudsonC.BrownJ.BurrowC.BrownJ.ChaseA.IosivasZ.MossC.BrownJ.BurrowZ.MossZ.MossC.JonesT.IrwinJ.ChaseC.BrownM.GesickiT.HudsonJ.ChaseZ.MossJ.BurrowJ.ChaseT.IrwinC.BrownM.GesickiT.HudsonA.IosivasA.IosivasZ.MossZ.MossA.IosivasJ.ChaseC.BrownA.IosivasJ.BurrowZ.MossZ.MossM.GesickiJ.ChaseA.IosivasJ.BurrowA.IosivasZ.MossZ.Moss,61
1,NO,161.0,58.0,0.0,1.0,0,193.0,Di.JohnsonC.HubbardC.HubbardB.YoungC.HubbardDi.JohnsonM.SandersJ.MingoA.ThielenM.SandersJ.SandersM.SandersB.YoungJ.MingoB.YoungJ.SandersM.SandersDi.JohnsonM.SandersX.LegetteM.SandersDi.JohnsonX.LegetteC.HubbardA.ThielenC.HubbardA.ThielenX.LegetteJ.MingoDi.JohnsonDi.JohnsonB.YoungJ.MatthewsM.SandersC.HubbardD.MooreC.HubbardJ.MingoJ.MingoA.ThielenX.LegetteX.LegetteX.LegetteD.MooreM.SandersX.LegetteJ.MingoD.MooreM.BooneM.BooneJ.MingoM.BooneM.Boone,79
1,NYG,208.0,111.0,2.0,1.0,2,312.0,A.JonesC.HamA.JonesS.DarnoldA.JonesJ.AddisonJ.OliverA.JonesA.JonesT.ChandlerT.ChandlerT.ChandlerJ.JeffersonT.ChandlerJ.AddisonJ.AddisonT.ChandlerT.ChandlerJ.AddisonJ.JeffersonA.JonesA.JonesA.JonesA.JonesJ.JeffersonJ.AddisonJ.MundtA.JonesJ.AddisonJ.MundtJ.MundtA.JonesA.JonesJ.NailorT.ChandlerJ.OliverJ.JeffersonJ.JeffersonA.JonesT.ChandlerT.ChandlerT.ChandlerT.ChandlerC.HamJ.JeffersonA.JonesA.JonesA.JonesS.DarnoldA.JonesA.JonesM.GaskinS.Darnold,68
1,NYJ,231.0,180.0,0.0,2.0,0,401.0,J.MasonG.KittleD.SamuelD.SamuelD.SamuelD.SamuelJ.MasonJ.MasonD.SamuelB.AiyukB.AiyukJ.MasonB.PurdyD.SamuelJ.MasonJ.MasonJ.MasonJ.MasonD.SamuelJ.JenningsJ.MasonD.SamuelJ.MasonD.SamuelG.KittleD.SamuelJ.MasonJ.MasonD.SamuelD.SamuelD.SamuelJ.JenningsD.SamuelB.AiyukB.AiyukJ.MasonD.SamuelG.KittleJ.MasonJ.JenningsJ.MasonK.JuszczykJ.MasonK.JuszczykJ.MasonJ.MasonG.KittleJ.MasonJ.MasonK.JuszczykG.KittleJ.MasonJ.MasonE.SaubertJ.MasonJ.JenningsK.JuszczykJ.MasonD.SamuelG.KittleJ.MasonB.AiyukD.SamuelJ.MasonJ.JenningsJ.MasonJ.MasonJ.MasonB.Allen,89
1,PHI,260.0,163.0,2.0,1.0,2,414.0,J.JacobsC.WatsonR.DoubsJ.JacobsJ.JacobsJ.ReedC.WatsonJ.JacobsL.MusgraveD.WicksJ.JacobsJ.JacobsJ.ReedR.DoubsJ.JacobsJ.JacobsC.WatsonT.KraftC.WatsonD.WicksEm.WilsonEm.WilsonEm.WilsonJ.ReedJ.JacobsJ.JacobsL.MusgraveJ.ReedJ.JacobsB.MeltonT.KraftJ.JacobsT.KraftD.WicksC.WatsonR.DoubsEm.WilsonJ.ReedR.DoubsEm.WilsonJ.JacobsJ.JacobsL.MusgraveR.DoubsJ.JacobsD.WicksJ.JacobsJ.JacobsJ.JacobsEm.WilsonJ.ReedJ.JacobsJ.JacobsC.WatsonJ.ReedEm.WilsonEm.WilsonJ.JacobsR.DoubsJ.ReedJ.JacobsR.Doubs,86
1,PIT,155.0,89.0,1.0,0.0,1,226.0,B.RobinsonB.RobinsonB.RobinsonD.MooneyD.MooneyR.McCloudT.AllgeierB.RobinsonD.LondonB.RobinsonB.RobinsonB.RobinsonD.LondonD.LondonB.RobinsonB.RobinsonB.RobinsonC.WoernerB.RobinsonD.MooneyR.McCloudB.RobinsonR.McCloudK.PittsB.RobinsonB.RobinsonB.RobinsonR.McCloudK.PittsB.RobinsonB.RobinsonB.RobinsonB.RobinsonD.DalmanT.AllgeierT.AllgeierK.PittsB.RobinsonC.WoernerB.RobinsonB.RobinsonR.McCloudB.RobinsonB.RobinsonR.McCloudK.PittsB.RobinsonR.McCloudR.McCloud,70
1,SEA,138.0,99.0,0.0,1.0,0,231.0,J.WilliamsJ.WilliamsJ.WilliamsJ.McLaughlinJ.McLaughlinD.VeleJ.WilliamsJ.McLaughlinL.HumphreyC.SuttonJ.ReynoldsB.NixC.SuttonD.VeleJ.WilliamsA.EstimeJ.WilliamsJ.McLaughlinD.VeleJ.McLaughlinC.SuttonB.NixG.DulcichC.SuttonJ.McLaughlinJ.WilliamsC.SuttonJ.ReynoldsJ.McLaughlinM.BurtonJ.WilliamsJ.WilliamsC.SuttonJ.McLaughlinM.MimsB.NixJ.ReynoldsJ.ReynoldsJ.McLaughlinA.TrautmanJ.McLaughlinD.VeleJ.McLaughlinA.EstimeJ.McLaughlinJ.McLaughlinJ.McLaughlinD.VeleC.SuttonJ.WilliamsD.VeleG.DulcichD.VeleD.VeleC.SuttonJ.McLaughlinG.DulcichJ.ReynoldsC.SuttonC.SuttonB.NixJ.ReynoldsC.SuttonJ.ReynoldsJ.ReynoldsC.SuttonB.Nix,93
1,SF,203.0,68.0,2.0,1.0,2,266.0,B.HallB.HallA.LazardB.HallB.HallB.HallG.WilsonB.HallB.HallG.WilsonB.HallB.HallA.LazardG.WilsonG.WilsonB.HallG.WilsonB.HallB.HallB.HallT.ConklinA.RodgersB.HallB.HallG.WilsonG.WilsonA.LazardB.HallB.HallA.LazardB.HallB.HallA.LazardB.HallG.WilsonB.HallG.WilsonB.HallB.HallT.ConklinA.LazardA.LazardB.AllenB.AllenG.WilsonG.WilsonA.LazardT.TaylorA.LazardX.Gipson,64
1,TB,184.0,138.0,0.0,3.0,0,299.0,J.DanielsB.RobinsonJ.DanielsB.RobinsonJ.DanielsB.RobinsonZ.ErtzJ.DanielsL.McCaffreyB.RobinsonB.RobinsonO.ZaccheausB.RobinsonJ.DanielsJ.BatesA.EkelerT.McLaurinJ.DanielsA.EkelerB.RobinsonJ.DanielsT.McLaurinZ.ErtzJ.CrowderJ.DanielsB.RobinsonB.RobinsonB.RobinsonJ.DanielsJ.DanielsL.McCaffreyB.RobinsonB.RobinsonO.ZaccheausZ.ErtzB.RobinsonT.McLaurinB.RobinsonB.RobinsonJ.DanielsA.EkelerJ.DanielsL.McCaffreyJ.DanielsA.EkelerT.McLaurinO.ZaccheausA.EkelerA.EkelerJ.DanielsZ.ErtzL.McCaffreyJ.DanielsB.RobinsonJ.DanielsL.McCaffrey,74
