game_id,home_team,away_team,spread_line,total_line,week,home_favorite,implied_home_score,implied_away_score
2024_10_ATL_NO,NO,ATL,-3.5,46.5,10,True,21.5,25.0
2024_10_SF_TB,TB,SF,-6.5,50.5,10,True,22.0,28.5
2024_10_PIT_WAS,WAS,PIT,1.5,45.0,10,False,23.25,21.75
2024_10_TEN_LAC,LAC,TEN,8.0,40.0,10,False,24.0,16.0
2024_10_NYJ_ARI,ARI,NYJ,-2.0,45.5,10,True,21.75,23.75
2024_10_PHI_DAL,DAL,PHI,-7.5,44.5,10,True,18.5,26.0
2024_10_DET_HOU,HOU,DET,-4.5,49.0,10,True,22.25,26.75
2024_10_MIA_LA,LA,MIA,2.5,49.5,10,False,26.0,23.5
2024_11_WAS_PHI,PHI,WAS,4.5,49.5,11,False,27.0,22.5
2024_11_GB_CHI,CHI,GB,-6.0,41.0,11,True,17.5,23.5
2024_11_JAX_DET,DET,JAX,14.0,47.5,11,False,30.75,16.75
2024_11_LV_MIA,MIA,LV,8.0,43.5,11,False,25.75,17.75
2024_11_LA_NE,NE,LA,-4.0,42.5,11,True,19.25,23.25
2024_11_CLE_NO,NO,CLE,-1.0,44.0,11,True,21.5,22.5
2024_11_IND_NYJ,NYJ,IND,4.0,43.0,11,False,23.5,19.5
2024_11_BAL_PIT,PIT,BAL,-3.0,48.0,11,True,22.5,25.5
2024_11_MIN_TEN,TEN,MIN,-6.0,40.0,11,True,17.0,23.0
2024_11_ATL_DEN,DEN,ATL,2.0,44.5,11,False,23.25,21.25
2024_11_SEA_SF,SF,SEA,6.0,49.0,11,False,27.5,21.5
2024_11_KC_BUF,BUF,KC,2.5,46.5,11,False,24.5,22.0
2024_11_CIN_LAC,LAC,CIN,1.0,48.0,11,False,24.5,23.5
2024_11_HOU_DAL,DAL,HOU,-7.5,41.5,11,True,17.0,24.5
2024_12_PIT_CLE,CLE,PIT,-3.5,36.5,12,True,16.5,20.0
2024_12_KC_CAR,CAR,KC,-11.0,43.0,12,True,16.0,27.0
2024_12_MIN_CHI,CHI,MIN,-3.0,39.5,12,True,18.25,21.25
2024_12_TEN_HOU,HOU,TEN,8.0,40.5,12,False,24.25,16.25
2024_12_DET_IND,IND,DET,-7.0,50.5,12,True,21.75,28.75
2024_12_NE_MIA,MIA,NE,7.5,46.0,12,False,26.75,19.25
2024_12_TB_NYG,NYG,TB,-6.5,40.5,12,True,17.0,23.5
2024_12_DAL_WAS,WAS,DAL,10.5,45.0,12,False,27.75,17.25
2024_12_DEN_LV,LV,DEN,-6.5,41.5,12,True,17.5,24.0
2024_12_SF_GB,GB,SF,6.5,44.5,12,False,25.5,19.0
2024_12_ARI_SEA,SEA,ARI,-1.0,46.5,12,True,22.75,23.75
2024_12_PHI_LA,LA,PHI,-3.0,49.0,12,True,23.0,26.0
2024_12_BAL_LAC,LAC,BAL,-3.0,51.0,12,True,24.0,27.0
2024_13_CHI_DET,DET,CHI,9.5,47.5,13,False,28.5,19.0
2024_13_NYG_DAL,DAL,NYG,4.5,39.0,13,False,21.75,17.25
2024_13_MIA_GB,GB,MIA,3.5,47.5,13,False,25.5,22.0
2024_13_LV_KC,KC,LV,13.5,42.0,13,False,27.75,14.25
2024_13_LAC_ATL,ATL,LAC,-1.0,47.0,13,True,23.0,24.0
2024_13_PIT_CIN,CIN,PIT,3.0,46.0,13,False,24.5,21.5
2024_13_HOU_JAX,JAX,HOU,-3.5,44.5,13,True,20.5,24.0
2024_13_ARI_MIN,MIN,ARI,3.5,45.5,13,False,24.5,21.0
2024_13_IND_NE,NE,IND,-2.5,41.5,13,True,19.5,22.0
2024_13_SEA_NYJ,NYJ,SEA,1.0,41.5,13,False,21.25,20.25
2024_13_TEN_WAS,WAS,TEN,6.0,45.0,13,False,25.5,19.5
2024_13_TB_CAR,CAR,TB,-6.5,46.0,13,True,19.75,26.25
2024_13_LA_NO,NO,LA,-2.5,48.5,13,True,23.0,25.5
2024_13_PHI_BAL,BAL,PHI,3.0,50.0,13,False,26.5,23.5
2024_13_SF_BUF,BUF,SF,6.5,45.0,13,False,25.75,19.25
2024_13_CLE_DEN,DEN,CLE,6.5,41.5,13,False,24.0,17.5
2024_14_GB_DET,DET,GB,3.0,53.0,14,False,28.0,25.0
2024_14_NYJ_MIA,MIA,NYJ,6.5,45.0,14,False,25.75,19.25
2024_14_ATL_MIN,MIN,ATL,6.0,46.5,14,False,26.25,20.25
2024_14_NO_NYG,NYG,NO,-5.5,41.0,14,True,17.75,23.25
2024_14_CAR_PHI,PHI,CAR,14.0,44.5,14,False,29.25,15.25
2024_14_CLE_PIT,PIT,CLE,6.0,43.0,14,False,24.5,18.5
2024_14_LV_TB,TB,LV,7.0,47.0,14,False,27.0,20.0
2024_14_JAX_TEN,TEN,JAX,3.0,40.0,14,False,21.5,18.5
2024_14_SEA_ARI,ARI,SEA,3.0,45.5,14,False,24.25,21.25
2024_14_BUF_LA,LA,BUF,-3.5,49.5,14,True,23.0,26.5
2024_14_CHI_SF,SF,CHI,3.0,43.5,14,False,23.25,20.25
2024_14_LAC_KC,KC,LAC,5.0,43.5,14,False,24.25,19.25
2024_14_CIN_DAL,DAL,CIN,-5.0,51.0,14,True,23.0,28.0
2024_15_LA_SF,SF,LA,3.0,48.5,15,False,25.75,22.75
2024_15_DAL_CAR,CAR,DAL,2.5,42.0,15,False,22.25,19.75
2024_15_KC_CLE,CLE,KC,-4.5,41.5,15,True,18.5,23.0
2024_15_MIA_HOU,HOU,MIA,2.5,46.5,15,False,24.5,22.0
2024_15_NYJ_JAX,JAX,NYJ,-3.5,41.5,15,True,19.0,22.5
2024_15_WAS_NO,NO,WAS,-7.5,44.5,15,True,18.5,26.0
2024_15_BAL_NYG,NYG,BAL,-16.5,43.5,15,True,13.5,30.0
2024_15_CIN_TEN,TEN,CIN,-6.0,46.5,15,True,20.25,26.25
2024_15_NE_ARI,ARI,NE,6.0,46.5,15,False,26.25,20.25
2024_15_IND_DEN,DEN,IND,4.5,43.5,15,False,24.0,19.5
2024_15_BUF_DET,DET,BUF,2.5,55.5,15,False,29.0,26.5
2024_15_TB_LAC,LAC,TB,3.0,46.0,15,False,24.5,21.5
2024_15_PIT_PHI,PHI,PIT,5.5,43.0,15,False,24.25,18.75
2024_15_GB_SEA,SEA,GB,-3.0,48.0,15,True,22.5,25.5
2024_15_CHI_MIN,MIN,CHI,7.0,43.5,15,False,25.25,18.25
2024_15_ATL_LV,LV,ATL,-6.5,44.5,15,True,19.0,25.5
2024_16_DEN_LAC,LAC,DEN,3.0,41.5,16,False,22.25,19.25
2024_16_HOU_KC,KC,HOU,3.5,42.5,16,False,23.0,19.5
2024_16_PIT_BAL,BAL,PIT,7.0,44.5,16,False,25.75,18.75
2024_16_NYG_ATL,ATL,NYG,9.5,42.5,16,False,26.0,16.5
2024_16_ARI_CAR,CAR,ARI,-5.5,47.0,16,True,20.75,26.25
2024_16_DET_CHI,CHI,DET,-7.0,47.5,16,True,20.25,27.25
2024_16_CLE_CIN,CIN,CLE,10.0,46.5,16,False,28.25,18.25
2024_16_TEN_IND,IND,TEN,4.0,42.5,16,False,23.25,19.25
2024_16_LA_NYJ,NYJ,LA,-3.0,47.0,16,True,22.0,25.0
2024_16_PHI_WAS,WAS,PHI,-4.0,47.0,16,True,21.5,25.5
2024_16_MIN_SEA,SEA,MIN,-2.5,43.0,16,True,20.25,22.75
2024_16_NE_BUF,BUF,NE,14.0,48.0,16,False,31.0,17.0
2024_16_JAX_LV,LV,JAX,2.5,41.5,16,False,22.0,19.5
