week,defteam,pass_yards_allowed,rush_yards_allowed,pass_td_allowed,rush_td_allowed,rec_td_allowed,total_yards_allowed,fantasy_points_allowed,plays_against
1,MIN,173.0,73.0,2.0,0.0,2,242.0,K.KieftK.KieftR.WhiteR.WhiteC.GodwinC.GodwinC.OttonM.EvansK.KieftR.WhiteR.WhiteR.WhiteR.WhiteS.TuckerB.MayfieldR.WhiteT.PalmerR.WhiteR.WhiteC.GodwinM.EvansR.WhiteD.ThompkinsM.EvansC.EdmondsR.WhiteR.WhiteM.EvansR.WhiteC.EdmondsS.TuckerC.OttonS.TuckerS.TuckerD.ThompkinsM.EvansD.ThompkinsC.OttonR.WhiteC.GodwinT.PalmerS.TuckerS.TuckerS.TuckerM.EvansB.MayfieldM.EvansR.WhiteR.WhiteB.MayfieldB.MayfieldC.GodwinM.EvansM.EvansT.PalmerR.WhiteM.EvansR.WhiteB.MayfieldR.WhiteR.JarrettC.GodwinB.MayfieldB.MayfieldB.Mayfield,87
1,NE,170.0,97.0,1.0,0.0,1,251.0,K.GainwellJ.HurtsK.GainwellK.GainwellK.GainwellK.GainwellQ.WatkinsK.GainwellJ.HurtsJ.HurtsK.GainwellK.GainwellK.GainwellA.BrownK.GainwellD.SmithD.SwiftA.BrownK.GainwellD.SmithJ.HurtsB.ScottJ.HurtsA.BrownA.BrownD.SwiftK.GainwellA.BrownJ.HurtsD.SmithK.GainwellK.GainwellQ.WatkinsJ.HurtsD.SmithA.BrownK.GainwellD.SmithK.GainwellJ.HurtsD.SmithD.SmithA.BrownD.SmithD.SmithD.SwiftD.GoedertA.BrownA.BrownA.BrownA.BrownB.ScottA.BrownJ.HurtsK.GainwellK.GainwellJ.HurtsD.SmithJ.Hurts,84
1,NO,198.0,104.0,0.0,0.0,0,285.0,C.OkonkwoR.TannehillT.SpearsD.HenryD.HenryD.HenryT.SpearsD.HopkinsD.HenryD.HopkinsT.SpearsD.HenryN.Westbrook-IkhineN.Westbrook-IkhineD.HenryR.TannehillD.HenryD.HenryN.Westbrook-IkhineD.HopkinsD.HenryD.HopkinsD.HenryT.BurksD.HenryD.HopkinsD.HenryD.HenryD.HopkinsD.HenryT.SpearsC.MooreT.BurksT.BurksT.BurksT.SpearsD.HopkinsD.HopkinsD.HenryR.TannehillD.HopkinsD.HopkinsC.OkonkwoN.Westbrook-IkhineD.HenryD.HopkinsN.Westbrook-IkhineD.HenryT.SpearsD.HopkinsT.SpearsT.SpearsN.Westbrook-IkhineD.HenryN.Westbrook-IkhineC.OkonkwoD.HenryN.Westbrook-IkhineD.Hopkins,81
1,NYG,143.0,122.0,0.0,3.0,0,265.0,J.FergusonT.PollardC.LambJ.FergusonT.PollardJ.FergusonK.TurpinJ.FergusonT.PollardB.CooksB.CooksJ.FergusonT.PollardT.PollardB.CooksR.DowdleR.DowdleR.DowdleJ.FergusonB.CooksK.TurpinC.LambD.PrescottT.PollardT.PollardM.GallupT.PollardT.PollardM.GallupT.PollardK.TurpinC.LambT.PollardR.DowdleP.HendershotT.PollardT.PollardT.PollardR.DowdleC.LambR.DowdleC.LambB.CooksC.LambT.PollardT.PollardK.TurpinK.TurpinT.PollardJ.FergusonK.TurpinD.VaughnD.VaughnD.VaughnD.VaughnD.VaughnD.VaughnJ.Tolbert,72
1,NYJ,236.0,97.0,1.0,0.0,1,314.0,S.DiggsD.HartyJ.CookJ.CookS.DiggsJ.CookD.HartyJ.AllenD.HartyJ.CookD.KnoxS.DiggsD.KnoxD.HarrisJ.CookD.HartyJ.CookS.DiggsJ.CookD.KincaidJ.AllenJ.CookJ.CookG.DavisS.DiggsD.HarrisS.DiggsD.KincaidJ.CookS.DiggsD.KincaidJ.AllenJ.CookJ.AllenJ.CookD.KnoxD.KincaidJ.CookJ.CookS.DiggsS.DiggsD.HartyJ.CookJ.CookJ.CookD.HarrisL.MurrayL.MurrayL.MurrayG.DavisJ.AllenJ.AllenG.DavisS.DiggsS.DiggsS.DiggsS.DiggsG.DavisL.MurrayD.KnoxJ.CookS.Diggs,84
1,PHI,316.0,76.0,3.0,0.0,3,382.0,R.StevensonH.HenryT.MontgomeryE.ElliottD.DouglasD.DouglasK.BourneE.ElliottR.StevensonJ.Smith-SchusterK.BourneE.ElliottR.StevensonK.BourneE.ElliottK.BourneJ.Smith-SchusterR.StevensonK.BourneM.GesickiK.BourneE.ElliottJ.Smith-SchusterD.DouglasT.MontgomeryR.StevensonH.HenryT.MontgomeryH.HenryH.HenryM.JonesJ.Smith-SchusterK.BourneR.StevensonR.StevensonK.BoutteE.ElliottE.ElliottJ.Smith-SchusterJ.Smith-SchusterK.BourneR.StevensonE.ElliottE.ElliottR.StevensonR.StevensonK.BoutteE.ElliottD.DouglasM.GesickiR.StevensonT.MontgomeryE.ElliottR.StevensonH.HenryJ.Smith-SchusterR.StevensonE.ElliottE.ElliottD.DouglasR.StevensonR.StevensonD.DouglasR.StevensonK.BourneM.JonesM.GesickiE.ElliottK.BourneH.HenryK.BourneD.DouglasR.StevensonM.JonesM.GesickiK.BoutteR.StevensonK.Boutte,96
1,PIT,220.0,188.0,2.0,1.0,2,391.0,D.SamuelD.SamuelC.McCaffreyG.KittleC.McCaffreyC.McCaffreyB.AiyukC.McCaffreyB.AiyukC.McCaffreyG.KittleJ.JenningsG.KittleC.McCaffreyC.McCaffreyG.KittleC.McCaffreyE.MitchellB.AiyukD.SamuelC.McCaffreyB.AiyukC.McCaffreyC.McCaffreyD.SamuelB.AiyukC.McCaffreyG.KittleB.PurdyC.McCaffreyC.McCaffreyD.SamuelE.MitchellC.McCaffreyC.McCaffreyD.SamuelG.KittleD.SamuelB.PurdyD.SamuelC.McCaffreyB.AiyukC.McCaffreyC.McCaffreyB.AiyukC.McCaffreyE.MitchellC.McCaffreyC.McCaffreyC.McCaffreyB.AiyukC.McCaffreyC.McCaffreyC.McCaffreyC.McCaffreyC.McCaffreyC.McCaffreyE.MitchellB.PurdyE.MitchellE.MitchellD.SamuelS.DarnoldS.Darnold,87
1,SEA,334.0,92.0,0.0,3.0,0,426.0,C.AkersK.WilliamsT.HigbeeC.AkersC.AkersK.WilliamsK.WilliamsP.NacuaV.JeffersonC.AkersP.NacuaT.HigbeeT.AtwellK.WilliamsP.NacuaK.WilliamsT.AtwellK.WilliamsK.WilliamsP.NacuaP.NacuaP.NacuaB.HopkinsK.WilliamsT.AtwellT.AtwellP.NacuaP.NacuaT.AtwellP.NacuaV.JeffersonC.AkersC.AkersP.NacuaV.JeffersonP.NacuaC.AkersV.JeffersonT.AtwellC.AkersK.WilliamsT.AtwellC.AkersP.NacuaC.AkersT.HigbeeK.WilliamsK.WilliamsK.WilliamsB.HopkinsM.StaffordM.StaffordP.NacuaT.AtwellT.AtwellK.WilliamsT.AtwellK.WilliamsK.WilliamsP.NacuaK.WilliamsM.StaffordB.SkowronekC.AkersC.AkersV.JeffersonP.NacuaC.AkersC.AkersB.SkowronekK.WilliamsP.NacuaC.AkersC.AkersC.AkersC.AkersC.AkersC.AkersC.AkersC.Akers,98
1,SF,232.0,41.0,1.0,0.0,1,239.0,G.PickensC.AustinN.HarrisC.AustinD.JohnsonA.RobinsonN.HarrisD.JohnsonJ.WarrenA.RobinsonJ.WarrenJ.WarrenP.FreiermuthG.PickensG.PickensN.HarrisA.RobinsonD.JohnsonD.JohnsonP.FreiermuthD.JohnsonA.McFarlandG.PickensA.RobinsonP.FreiermuthD.JohnsonJ.WarrenJ.WarrenA.RobinsonC.AustinN.HarrisA.RobinsonN.HarrisC.AustinCo.HeywardCo.HeywardN.HarrisG.PickensA.McFarlandJ.WarrenP.FreiermuthC.AustinA.RobinsonC.AustinN.HarrisCo.HeywardN.HarrisCo.HeywardJ.WarrenG.PickensG.PickensK.PickettJ.WarrenJ.WarrenA.RobinsonA.RobinsonC.Austin,79
1,TB,344.0,41.0,2.0,0.0,2,369.0,A.MattisonJ.JeffersonJ.JeffersonA.MattisonJ.JeffersonC.HamJ.JeffersonC.HamT.HockensonA.MattisonA.MattisonK.CousinsA.MattisonJ.OliverC.HamA.MattisonJ.AddisonJ.JeffersonT.ChandlerT.ChandlerT.ChandlerT.HockensonJ.AddisonK.OsbornJ.JeffersonA.MattisonJ.JeffersonJ.OliverK.OsbornA.MattisonJ.AddisonT.ChandlerT.HockensonK.OsbornJ.JeffersonJ.JeffersonT.HockensonJ.JeffersonJ.AddisonK.OsbornA.MattisonJ.JeffersonT.HockensonA.MattisonK.CousinsJ.OliverA.MattisonJ.AddisonT.HockensonT.HockensonA.MattisonA.MattisonK.CousinsK.OsbornA.MattisonA.MattisonT.HockensonK.OsbornK.OsbornT.HockensonJ.JeffersonJ.Addison,80
1,TEN,305.0,69.0,1.0,0.0,1,351.0,M.ThomasJ.WilliamsJ.WilliamsM.ThomasR.ShaheedJ.WilliamsM.ThomasM.ThomasR.ShaheedJ.JohnsonC.OlaveJ.WilliamsC.OlaveJ.WilliamsJ.JohnsonD.CarrC.OlaveJ.WilliamsR.ShaheedT.HillM.ThomasJ.WilliamsJ.JohnsonR.ShaheedC.OlaveM.ThomasJ.JohnsonJ.WilliamsJ.WilliamsC.OlaveT.HillT.JonesJ.WilliamsJ.WilliamsM.ThomasJ.JohnsonC.OlaveJ.WilliamsJ.JohnsonT.HillC.OlaveJ.WilliamsK.KirkwoodR.ShaheedJ.WilliamsC.OlaveT.HillJ.WilliamsC.OlaveJ.WilliamsJ.WilliamsC.OlaveR.ShaheedJ.WilliamsM.ThomasR.ShaheedJ.WilliamsR.ShaheedJ.WilliamsD.CarrD.Carr,84
1,WAS,132.0,96.0,0.0,0.0,0,210.0,J.ConnerJ.ConnerZ.ErtzZ.PascalZ.ErtzJ.ConnerR.MooreM.BrownJ.ConnerR.MooreZ.ErtzJ.DobbsZ.ErtzZ.ErtzK.IngramM.BrownJ.ConnerM.BrownJ.ConnerJ.ConnerT.McBrideT.McBrideK.IngramZ.ErtzJ.DobbsR.MooreM.BrownJ.ConnerMi.WilsonZ.ErtzZ.ErtzM.BrownJ.ConnerR.MooreJ.ConnerM.BrownJ.ConnerJ.ConnerJ.ConnerZ.ErtzK.IngramJ.DobbsJ.ConnerJ.ConnerR.MooreMi.WilsonJ.ConnerJ.ConnerK.IngramK.IngramM.BrownG.SwaimJ.DobbsMi.WilsonZ.ErtzJ.ConnerJ.ConnerZ.ErtzMi.Wilson,76
